YEAR,GENERO,EDAD,REL_LABORAL,FELICIDAD,SALUD,SEGURIDAD,REGION
2002,Mujer,56,Autónomo,8,Muy buena,Seguro,Cataluña
2002,Hombre,69,Autónomo,8,Buena,Seguro,Cataluña
2002,Mujer,34,Empleado,5,Buena,Inseguro,Cataluña
2002,Mujer,69,Empleado,8,Mala,Muy inseguro,Cataluña
2002,Mujer,22,Empleado,7,Muy buena,Seguro,Cataluña
2002,Hombre,45,Empleado,6,Normal,Seguro,Cataluña
2002,Hombre,28,Empleado,10,Buena,Seguro,Cataluña
2002,Hombre,45,Empleado,7,Normal,Inseguro,Cataluña
2002,Hombre,42,Empleado,8,Normal,Seguro,Cataluña
2002,Mujer,47,Empleado,8,Normal,Seguro,Cataluña
2002,Hombre,18,Empleado,8,Muy buena,Muy seguro,Cataluña
2002,Hombre,53,Empleado,2,Muy mala,Seguro,Cataluña
2002,Mujer,49,Autónomo,10,Muy buena,Muy inseguro,Cataluña
2002,Hombre,52,Empleado,5,Mala,Inseguro,Cataluña
2002,Mujer,49,Empleado,10,Normal,Seguro,Cataluña
2002,Hombre,37,Empleado,5,Buena,Seguro,Cataluña
2002,Hombre,32,Empleado,8,Normal,Seguro,Cataluña
2002,Mujer,36,Empleado,10,Buena,Seguro,Cataluña
2002,Mujer,54,Autónomo,4,Normal,Inseguro,Cataluña
2002,Mujer,29,Empleado,10,Normal,Seguro,Cataluña
2002,Mujer,40,Empleado,8,Normal,Seguro,Cataluña
2002,Mujer,65,Empleado,8,Normal,Inseguro,Cataluña
2002,Hombre,56,Empleado,10,Normal,Seguro,Cataluña
2002,Hombre,60,Empleado,9,Muy buena,Muy seguro,Cataluña
2002,Hombre,31,Empleado,6,Buena,Seguro,Cataluña
2002,Hombre,35,Empleado,9,Buena,Seguro,Cataluña
2002,Hombre,36,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,27,Empleado,9,Buena,Seguro,Cataluña
2002,Hombre,36,Empleado,10,Muy buena,Seguro,Cataluña
2002,Mujer,35,Empleado,9,Buena,Seguro,Cataluña
2002,Hombre,44,Autónomo,7,Buena,Inseguro,Cataluña
2002,Mujer,64,Negocio familiar,10,Muy buena,Inseguro,Cataluña
2002,Hombre,34,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,59,Empleado,5,Normal,Muy inseguro,Cataluña
2002,Hombre,39,Empleado,7,Buena,Seguro,Cataluña
2002,Hombre,32,Empleado,5,Buena,Seguro,Cataluña
2002,Hombre,19,Empleado,8,Muy buena,Muy seguro,Cataluña
2002,Hombre,51,Autónomo,6,Buena,Inseguro,Cataluña
2002,Hombre,28,Empleado,6,Buena,Seguro,Cataluña
2002,Mujer,47,Empleado,7,Buena,Seguro,Cataluña
2002,Mujer,67,Empleado,5,Normal,Inseguro,Cataluña
